Country,PEPFAR_2014,NNPTSigned_2014,NNPTDeposited_2014,NNPTSignedAndDeposited_2014,MaternalHealthAccessToCare_2014,TIPS_2013,ICAOMember_2014,UNESCOMember_2014,FAOMember_2014,OASMember_2014,UNGAMember_2014,OSCEMember_2014,OECDMember_2014,NATOMember_2014,EUMember_2014,AUMember_2014,UNHCRMember_2014,MLOIndex_2014,APECMember_2014,NAFTAMember_2014,WTOMember_2014,ASEANMember_2014,CBERAMember_2014,CAFTAMember_2014,TPIndex_2014,USAID-GlobalHealth_2014,USAID-DHRA_2014,USAID-WatSan_2014,USAID-CrisisConflict_2014,USAID-GenderWomen_2014,USAID-EnvClimate_2014,USAID-ScienceTech_2014,NIV_1997,NIV_1998,NIV_1999,NIV_2000,NIV_2001,NIV_2002,NIV_2003,NIV_2004,NIV_2005,NIV_2006,NIV_2007,NIV_2008,NIV_2009,NIV_2010,NIV_2011,NIV_2012,NIV_2013,ChildMort_2012,MalariaElim_2012,TBIncidence-100k_2012,TBDrugResistance-2012
Lebanon,,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,Member,5,,,Observer,,,,1,,1,1,,1,,1,16144,16265,20523,24697,28440,12169,9758,14331,13581,16083,21683,19888,17480,16445,17816,20578,26314,9.3,0,16,0
Lesotho,1,X,X,2,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,210,309,248,323,221,266,260,243,294,276,259,272,263,275,281,341,267,99.6,0,630,1
Liberia,3,X,X,2,Unsuitable,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Observer,,,,2,1,,,1,,,,2056,2892,2692,4885,3015,1896,1224,1483,966,1120,1997,1529,1368,1809,2107,3169,3521,74.8,4,304,0
Libya,,X,X,2,Poor,Tier 3,Member,Member,Member,,Member,,,,,Member,,5,,,Observer,,,,1,,,,,,,,411,370,436,445,500,289,260,405,797,1092,2010,5375,3806,5922,2494,3226,4593,15.4,0,40,0
Liechtenstein,,,X,1,Excellent,,,,,,Member,Member,,,,,,2,,,Member,,,,1,,,,,,,,88,82,79,88,71,60,49,38,44,50,69,53,60,54,63,67,52,,0,,
Lithuania,,,X,1,Good,Tier 2,Member,Member,Member,,Member,Member,,Member,Member,,,7,,,Member,,,,1,,,,,,,,6954,6987,6924,14193,20466,12968,9395,8150,8097,8462,9427,9949,3156,2868,3017,2691,2688,5.4,0,66,1
Luxembourg,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,413,381,429,393,363,278,256,319,318,356,290,297,296,268,315,336,304,2.2,0,6.5,0
Macao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341,1611,930,613,744,1077,1039,1223,1251,987,1285,1732,2134,2503,,,83,
Macedonia,,,X,1,Fair,Tier 1,Member,Member,Member,,Member,Member,,,,,Member,6,,,Member,,,,1,,,,,,,,4482,4961,5287,4966,6340,5659,3995,3963,3859,4592,6417,6522,5848,6135,7224,7555,6779,7.4,0,18,1
Madagascar,,X,X,2,Unsuitable,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,796,914,1097,1156,1136,944,988,1154,1198,1070,1013,1403,1275,1248,1200,1153,1446,58.2,4,234,0
Malawi,1,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,891,948,1101,1396,1290,1142,1110,1109,1267,1079,1036,1295,1092,1215,1126,1352,1335,71,4,163,0
Malaysia,,X,X,2,Good,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Member,Member,,,2,,,,,,,,67941,37147,42892,52173,53191,27452,24598,34750,36723,38185,39649,41148,31059,36094,43598,47027,44840,8.5,3,80,0
Maldives,,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,81,113,180,239,203,145,301,256,205,180,216,268,254,249,331,263,327,10.5,0,41,1
Mali,3,X,X,2,Unsuitable,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,1,1,,1,,,,2999,3329,3098,5433,6048,4377,4310,2746,2879,4487,2642,3021,2980,2624,3039,2079,2519,128,4,60,0
Malta,,X,X,2,Good,Tier 2,Member,Member,Member,,Member,Member,,,Member,,,6,,,Member,,,,1,,,,,,,,5184,4885,5114,5156,4348,2617,2555,3194,3056,2552,2826,2943,636,265,322,307,311,6.8,0,11,0
Marshall Islands,,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,,,,,0,,,,,,,,40,41,59,57,70,52,25,35,62,52,53,62,72,67,103,92,58,37.9,0,572,0
Mauritania,,,X,1,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,687,775,1051,1436,1588,831,616,700,678,575,503,659,710,1172,871,906,1339,84,4,350,0
Mauritius,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,1777,1756,1818,1898,1818,1369,1291,1655,1752,1679,1760,2179,1968,2204,2439,2533,2844,15.1,0,21,0
Mexico,,X,X,2,Fair,Tier 2,Member,Member,Member,Member,Member,,Member,,,,Member,7,,Member,Member,,,,2,1,1,,,1,,,548716,741501,1108588,1762402,2220330,1582674,1022013,912892,912892,910381,1015403,948829,862823,1130478,1315116,1693133,1510106,16.2,3,23,1
Moldova,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,Member,,,,,Member,6,,,Member,,,,1,,1,,,,,,1586,1815,2159,2885,2365,2518,2885,3114,3825,5087,9591,10444,7125,8572,8221,7897,7657,17.6,0,160,1
Monaco,,,X,1,Excellent,,Member,Member,Member,,Member,Member,,,,,,5,,,,,,,0,,,,,,,,26,27,15,35,20,23,14,32,37,20,24,34,41,31,28,28,30,3.8,0,2.1,0
Mongolia,,X,X,2,Poor,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1,,,,,,,,1909,2282,2922,2792,3498,6371,5060,4595,4242,5037,4101,4109,5526,6944,7142,7041,8892,27.5,0,223,1
Montenegro,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,Member,,,,,Member,6,,,Member,,,,1,,,,,,,,,,,,,,,,,,,525,2131,3501,3293,3699,3862,5.9,0,18,0
Morocco,,X,X,2,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1,,,1,1,,,,16443,18965,20991,19813,18958,11484,11401,12194,11760,10946,10377,15125,15364,16740,17559,17936,16177,31.1,0,103,0
Mozambique,1,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,1,1,,,1,,,743,854,921,1116,1084,1063,956,856,868,840,862,1085,1091,1138,1313,1505,1902,89.7,4,552,1
Namibia,1,,X,1,Fair,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,693,764,902,957,875,747,802,901,925,926,1031,1059,944,1047,1266,1338,1305,38.7,4,655,1
Nauru,,,X,1,Poor,,Member,Member,Member,,Member,,,,,,,4,,,,,,,0,,,,,,,,55,61,70,272,121,38,21,24,30,37,17,9,20,15,40,43,21,37.1,0,54,0
Nepal,3,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,1,1,,,1,,,5709,7008,5969,6652,7539,7708,6920,6755,8097,11285,12419,15751,10686,9911,9825,10341,11664,41.6,4,163,1
Netherlands,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,16773,17576,16829,17682,16452,15389,13838,15115,15151,15574,15610,16227,15059,15043,15316,15037,17994,4.1,0,6.3,1
New Zealand,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,,Member,,,,Member,6,,,Member,,,,1,,,,,,,,8774,8435,9265,9895,11088,9022,8995,9648,8950,8816,8992,9151,7567,7717,8171,7812,8866,5.7,0,7.6,1
Nicaragua,2,X,X,2,Poor,Tier 1,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,Member,2,1,,,,,,,19468,18960,15606,13017,13593,12548,11162,12879,12879,13576,13926,15743,14067,13243,15089,16911,20052,24.4,4,38,0
Niger,,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,706,847,1240,1510,1600,1117,1006,1175,1313,1209,1231,977,1039,978,995,1200,1258,113.5,4,104,1
Nigeria,1,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,1,,1,,,,,25077,26966,28208,27294,42222,42575,47593,44653,43201,37234,50251,59748,55581,64279,63503,83944,113503,123.7,4,108,1
North Korea,,,,0,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,,,4,,,,,,,0,,,,,,,,1745,1531,1643,1634,1489,761,296,222,202,148,150,137,76,53,111,87,56,28.8,3,409,1
Norway,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,,,Member,8,,,Member,,,,1,,,,,,,,8546,8581,8135,8311,7721,7917,7697,8139,9365,9921,9831,10389,9364,10120,10432,10726,10407,2.8,0,7.5,1
Oman,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,2442,2760,2996,2949,2968,1522,1060,1578,1908,1734,1956,2187,2407,2385,2869,4193,5139,11.6,1,13,1
Pakistan,,,,0,Poor,Tier 2,Member,Member,Member,,Member,,,,,,Member,5,,,Member,,,,1,1,1,,1,,,1,48695,44574,49769,88791,75512,29613,24092,24934,28025,39096,39145,32666,33730,31595,33808,44619,49097,85.9,4,231,1
Palau,,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,,,,,0,,,,,,,,29,6,2,13,19,16,22,17,29,16,18,7,15,37,20,28,23,20.8,0,24,0
Panama,2,X,X,2,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1,,,,,,,,19583,18284,21715,23316,20719,16818,18074,19574,19574,22813,20736,24446,26927,26284,24913,26826,28657,18.5,4,48,0
Papua New Guinea,1,,X,1,Poor,Tier 3,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,873,901,1063,775,613,543,488,467,559,513,468,611,728,808,831,757,966,63,4,348,1
Paraguay,,X,X,2,Poor,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1,,1,,,1,,,7400,7329,7471,7500,7339,5202,4357,4873,4873,4824,5948,6849,6246,6705,7862,8778,11317,22,3,45,0
Peru,,X,X,2,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1,1,1,,1,1,,1,56017,55059,61792,81782,107768,67807,63410,79348,79348,55157,58677,61272,64974,64976,70850,75701,83651,18.2,4,95,1
Philippines,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,,,,,,Member,5,,,Member,Member,,,2,1,1,1,1,1,,1,145043,151182,146603,169408,195328,180844,125553,127185,143364,152102,202734,194286,176372,159897,155150,198683,183101,29.8,4,265,1
Poland,,X,X,2,Good,Tier 1,Member,Member,Member,,Member,Member,Member,,Member,,Member,8,,,Member,,,,1,,,,,,,,88277,89748,103177,110471,105365,103161,92814,109986,120211,113043,103183,104855,75856,73968,73929,73378,74690,5,0,21,1
Portugal,,,X,1,Excellent,Tier 2,Member,Member,Member,,Member,Member,Member,,Member,,Member,8,,,Member,,,,1,,,,,,,,47711,45619,42872,5576,4685,4758,4361,4374,4950,5126,5566,6068,5007,4652,4906,5606,5857,3.6,0,26,1
Qatar,,,X,1,Good,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,2784,2866,2550,2917,2625,860,852,965,1507,1921,2408,3302,3732,4141,5765,7011,9608,7.4,0,41,1
Republic of Congo,,X,X,2,,Tier 2,Member,,Member,,Member,,,,,Member,Member,5,Member,,Member,,,,2,,,,,,,,3175,2804,2566,866,1093,736,786,741,847,959,948,934,1320,1522,1664,1600,1487,96,4,381,0
Republic of Serbia,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,Member,,,,,Member,6,,,Observer,,,,1,,1,,,,,,,,,,,,,,,2,,733,9705,16070,18123,18111,18503,6.6,0,23,1
Romania,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,Member,,Member,Member,,Member,8,,,Member,,,,1,,,,,,,,24744,26193,25298,27213,33662,30033,31040,38872,42038,45321,43310,44273,31587,31647,32627,32979,36616,12.2,0,94,1
Russia,,X,X,2,Fair,Tier 3 Auto-Downgrade,Member,Member,Member,,Member,Member,,,,,Member,6,,,Member,,,,1,,,,,,,,126222,137960,106126,99051,97638,91390,96097,102272,121843,130220,145725,171776,156958,175644,204315,225070,269692,10.3,0,91,1
Rwanda,1,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,1,1,,1,1,,,705,1192,1237,1424,980,800,679,948,1024,1192,1499,1582,1552,1701,2078,2573,2108,55,4,86,0
Saint Kitts and Nevis,2,,X,1,Fair,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2,,,,,,,,1586,1742,2770,2135,1779,1344,1999,2673,2673,1954,1703,1757,2263,1873,1550,1390,1415,9.2,0,4.3,0
Saint Lucia,2,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2,,,,,,,,4801,5746,7919,6827,3570,2856,5331,4475,4475,4703,3612,4260,4402,4007,3343,2916,3043,17.5,0,3.3,0
Saint Vincent and the Grenadines,2,,X,1,Fair,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2,,,,,,,,2817,3337,4695,3721,2850,2415,3382,3583,3583,3170,2961,2871,3074,2405,1949,1789,1996,23.4,0,24,0
Samoa,,,X,1,Fair,Tier 3,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,1594,1601,1679,2030,2638,2163,1575,1479,1252,1113,973,821,968,694,728,854,791,17.8,0,18,0
San Marino,,X,X,2,Excellent,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,,,,,0,,,,,,,,20,20,30,25,10,24,18,14,23,17,24,20,15,11,17,12,19,3.3,0,1.5,0
Sao Tome and Principe,,,X,1,Poor,,Member,Member,Member,,Member,,,,,Member,,5,Member,,Observer,,,,2,,,,,,,,47,102,85,97,82,92,78,85,96,71,79,70,65,78,81,82,72,53.2,4,93,0
Saudi Arabia,,,X,1,Good,,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,51443,51067,56495,60508,46636,14126,10635,11985,17537,25532,28450,36224,56199,75535,90728,103213,108578,8.6,2,15,0
Senegal,3,X,X,2,Poor,,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,1,1,1,1,1,1,,7134,8441,9028,12156,10265,5301,5094,5199,4602,4635,4212,5561,5208,4786,4775,4824,4876,59.6,4,137,0
Seychelles,,,X,1,Good,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,Member,,Observer,,,,2,,,,,,,,209,247,266,279,256,229,181,160,187,186,179,188,160,250,184,233,204,13.1,0,30,0
Sierra Leone,1,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,2056,1462,1301,1750,1910,1415,1550,1685,1462,1522,1862,1965,1710,1765,1971,1807,1785,181.60001,4,674,0
Singapore,,X,X,2,Good,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,Member,,,2,,,,,,,,63159,50379,35423,7475,7991,7423,6896,8723,9740,10384,9758,10058,9532,10412,10743,10926,10375,2.9,0,50,0
Slovakia,,,X,1,Good,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,,8,,,Member,,,,1,,,,,,,,15157,14851,14604,16746,19662,19314,18017,17468,17342,18673,17294,16332,5631,4579,5211,4891,4968,7.5,0,6.8,0
Slovenia,,,X,1,Good,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,10792,1609,1227,1212,1270,1358,1185,1195,1091,1039,1062,1112,996,933,1083,1107,1170,3.1,0,7.5,1
Solomon Islands,,,X,1,,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,93,124,143,88,108,103,101,94,106,102,153,150,97,191,159,156,152,31.1,4,97,0
Somalia,,X,X,2,Unsuitable,Special Case,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,,,,,1,,,,,,,,619,783,892,995,989,284,191,181,219,205,253,227,237,177,144,202,210,147.39999,4,286,0
South Africa,1,,X,1,Good,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,1,,,,,,,72221,73354,68685,71605,66541,49805,51347,56634,61063,57767,58357,61801,49960,51052,60152,62516,59038,44.6,4,1003,1
South Korea,,,X,1,Good,Tier 1,Member,Member,Member,,Member,,Member,,,,Member,6,,,Member,,,,1,,,,,,,,619011,380645,402418,479205,430855,353457,411445,344213,386524,436028,448636,389287,122370,106904,106994,90927,80919,3.8,3,108,1
South Sudan,1,,,0,,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,,5,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,73,467,508,104,4,146,0
Spain,,,X,1,Excellent,Tier 1,Member,Member,Member,,Member,,Member,Member,Member,,Member,8,,,Member,,,,1,,,,,,,,19721,19507,21326,21961,21594,18619,17083,18067,19208,17526,19083,20607,22089,22459,25880,26401,27681,4.5,0,14,1
Sri Lanka,,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,1,1,1,,,,8778,10707,11687,12756,10499,6304,8693,9761,12332,14185,12693,11421,8512,9502,11517,11541,11984,9.6,2,66,0
Sudan,,X,X,2,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Observer,,,,2,,,,,,,,3362,3207,3778,4598,4930,2188,1658,1555,1604,1980,2421,2502,2855,3217,3938,3771,3328,73.1,4,114,0
Suriname,2,,X,1,Unsuitable,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1,,,,,,,,3157,3071,2276,2342,2109,1743,1737,1727,1727,1914,2514,3069,3168,2852,3156,4489,5305,20.8,4,41,0
Swaziland,1,X,X,2,Poor,Tier 2,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,311,289,298,455,367,304,285,365,446,432,354,379,442,518,438,535,480,79.7,4,1349,1
Sweden,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,,,,Member,,Member,6,,,Member,,,,1,,,,,,,,18652,18779,17607,17679,15637,12701,11712,12393,13185,13449,13701,13750,12560,12686,13034,13366,14198,2.9,0,7.2,1
Switzerland,,X,X,2,Excellent,Tier 2,Member,Member,Member,,Member,Member,Member,,,,Member,7,,,Member,,,,1,,,,,,,,16644,17883,17896,16341,14707,14714,8919,9016,9074,9101,10225,11138,12598,12096,13777,12962,11795,4.3,0,6,0
Syria,,X,X,2,Fair,Tier 3,Member,Member,Member,,Member,,,,,,,4,,,Observer,,,,1,,,,,,,,9914,10423,12416,14344,13502,6679,5189,6027,5558,5719,6770,6421,7408,8427,8366,9408,15130,15.1,1,18,1
Taiwan,,,,0,Excellent,Tier 1,,,Member,,Member,,,,,,,2,,,Member,,,,1,,,,,,,,344901,263967,269802,279153,242547,184827,152577,189854,196909,190634,179254,171588,129506,146149,149731,125367,31696,,4,,1
Tajikistan,2,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1,1,1,1,,,,,409,241,456,469,511,534,730,641,794,855,1517,2190,1733,1898,2045,1786,1456,58.3,2,,1
Thailand,2,,X,1,Good,Tier 2 Watch List,Member,Member,Member,,Member,,,,,,Member,5,,,Member,Member,,,2,,,,,,,,66674,33371,47041,61300,59127,43415,38481,48310,53694,61521,68546,62199,50726,54921,56885,57575,62484,13.2,4,119,1
The Bahamas,2,,X,1,Good,Tier 2,Member,Member,Member,Member,Member,,,,,,,5,,,Observer,,Member,,2,,,,,,,,16168,17782,24987,18010,17354,14317,11609,16673,16673,15743,15356,13103,10425,12428,11520,10065,8695,16.9,0,9.9,0
Timor-Leste,,,X,1,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,,,,,0,1,1,,,,,,,,,16,29,46,56,68,94,96,98,144,142,120,174,161,181,56.7,4,498,0
Togo,,X,X,2,Unsuitable,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,1063,1228,1140,1559,2773,1955,1767,1795,1229,1038,1233,1395,1238,1253,1452,1521,1371,95.5,4,73,1
Tonga,,,X,1,Fair,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,2072,1982,2895,2548,2762,1869,1187,1725,1997,1903,2047,1312,895,1006,1083,814,951,12.8,,14,0
Trinidad and Tobago,2,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,Member,,2,,,,,,,,43422,43930,44863,57889,53143,32353,23303,41203,41203,42758,36015,30816,23221,24023,31645,34739,29268,20.7,0,24,0
Tunisia,,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,,Member,,,,,Member,Member,6,,,Member,,,,1,,,,,,,,7630,8080,9830,11905,6759,2096,2259,2874,3226,3353,3454,3763,3984,4834,5069,6393,7220,16.1,0,31,1
Turkey,,X,X,2,Fair,Tier 2,Member,Member,Member,,Member,Member,Member,Member,,,Member,8,,,Member,,,,1,,,,,,,,52118,57494,65574,76539,64139,46965,42794,46632,53121,57878,64751,76191,69513,77344,91992,93124,95152,14.2,2,22,1
Turkmenistan,2,,X,1,Poor,Tier 2 Watch List,Member,Member,Member,,Member,Member,,,,,Member,6,,,,,,,0,1,1,,,,,,565,496,457,548,718,504,588,911,902,941,961,839,1072,1215,1243,1389,1344,52.8,0,75,0
Tuvalu,,,X,1,,,,Member,Member,,Member,,,,,,,3,,,,,,,0,,,,,,,,164,172,227,175,217,283,232,201,266,235,282,246,146,105,116,133,128,29.7,0,241,0
Uganda,1,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,1,,1,1,1,,,2510,3188,4333,4627,4239,3422,3566,4085,3974,4335,4852,5670,5355,4644,5458,6322,6226,68.9,4,179,0
Ukraine,1,,X,1,Fair,Tier 2 Watch List,Member,Member,Member,,Member,Member,,,,,,5,,,Member,,,,1,,,,,,,,23427,25270,22248,27185,28776,21560,26608,31675,36208,40732,43673,51456,43698,45377,50086,54734,51934,10.7,0,93,1
United Arab Emirates,,,X,1,Good,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,10741,11310,11365,12000,11505,1906,1490,2533,3736,4517,5102,6677,8879,9173,11036,12404,16539,8.4,0,1.7,1
United Kingdom,,X,X,2,Excellent,Tier 1,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9,,,Member,,,,1,,,,,,,,243921,175882,155011,163150,158112,114976,105030,112101,111818,98367,94336,90603,81188,78874,85675,84652,89711,4.8,0,15,1
United Republic of Tanzania,1,,,0,Poor,,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,1,,,,1,,,3391,3564,5265,5719,6414,4245,4111,4120,4264,4429,5239,5774,5647,5959,5928,6208,5866,54,4,165,1
United States of America,,X,X,2,,Tier 1,Member,Member,Member,Member,Member,Member,Member,Member,,,Member,9,,Member,Member,,Member,Member,4,,,,,,,,,,,,,,,,,,,,,,,,,7.1,0,3.6,1
Uruguay,,X,X,2,Fair,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,,5,,,Member,,,,1,,,,,,,,23274,22314,16776,2395,2486,3295,10712,14676,14676,14054,14587,15183,15369,16098,17443,19622,24877,7.2,0,27,0
Uzbekistan,2,,X,1,Poor,Tier 3 Auto-Downgrade,Member,Member,Member,,Member,Member,,,,,,5,,,Observer,,,,1,1,1,,,,,,3576,3766,5004,6471,6097,3956,3957,3563,5020,4429,3071,3622,4725,6018,5812,7462,8504,39.6,1,78,1
Vanuatu,,,X,1,Poor,,Member,Member,Member,,Member,,,,,,,4,,,Member,,,,1,,,,,,,,68,76,86,173,117,72,75,58,63,49,83,79,92,79,123,103,89,17.9,0,65,0
Vatican,,,X,1,,,,,,,,Member,,,,,Member,2,,,Observer,,,,1,,,,,,,,75,77,76,62,58,63,39,72,47,31,52,83,58,52,35,32,23,,0,,
Venezuela,,X,X,2,Good,Tier 2 Watch List,Member,Member,Member,Member,Member,,,,,,Member,6,,,Member,,,,1,,,,,,,,87172,106496,119232,116414,128827,89022,70366,79381,79381,109586,103133,102154,119621,165882,198442,228207,221204,15.3,4,33,1
Vietnam,1,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,,,4,,,Member,Member,,,2,1,1,,1,1,,,8539,8963,8839,13339,20446,21409,17210,20522,25479,28490,38602,47956,41854,46192,50483,58117,67058,23,4,147,1
Western Sahara,,,,0,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,X,X,2,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,,Member,5,,,Observer,,,,1,,,,,,,,3419,3287,3665,4076,3083,1177,1292,1410,1784,2314,1942,1573,2091,2329,2345,3497,4079,60,4,49,0
Zambia,1,,X,1,Poor,Tier 2,Member,Member,Member,,Member,,,,,Member,Member,6,Member,,Member,,,,2,,,,,,,,2045,2261,2864,3312,5012,3149,2337,2564,2837,2734,2235,1954,1830,2629,2512,2955,2911,88.5,4,427,0
Zimbabwe,1,,X,1,Unsuitable,Tier 3,Member,Member,Member,,Member,,,,,Member,,5,Member,,Member,,,,2,,,,,,,,5032,5934,6518,7941,6362,4660,4073,4298,4499,4228,4562,4795,4689,4568,5769,6004,6131,89.8,4,562,0
