Afghanistan,Member,Member,Member,,Member,,,,,,,4
Albania,Member,Member,Member,,Member,Member,,Member,,,,6
Algeria,Member,Member,Member,,Member,,,,,Member,Member,6
Andorra,Member,Member,Member,,Member,Member,,,,,,5
Angola,Member,Member,Member,,Member,,,,,Member,,5
Antigua and Barbuda,Member,Member,Member,Member,Member,,,,,,,5
Argentina,Member,Member,Member,Member,Member,,,,,,Member,6
Armenia,Member,Member,Member,,Member,Member,,,,,,5
Australia,Member,Member,Member,,Member,,Member,,,,Member,6
Austria,Member,Member,Member,,Member,Member,Member,,Member,,,7
Azerbaijan,Member,Member,Member,,Member,Member,,,,,Member,6
Bahrain,Member,Member,Member,,Member,,,,,,,4
Bangladesh,Member,Member,Member,,Member,,,,,,Member,5
Barbados,Member,Member,Member,Member,Member,,,,,,,5
Belarus,Member,Member,Member,,Member,Member,,,,,,5
Belgium,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Belize,Member,Member,Member,Member,Member,,,,,,,5
Benin,Member,Member,Member,,Member,,,,,Member,Member,6
Bhutan,Member,Member,Member,,Member,,,,,,,4
Bolivia,Member,Member,Member,Member,Member,,,,,,,5
Bosnia and Herzegovina,Member,Member,Member,,Member,Member,,,,,,5
Botswana,Member,Member,Member,,Member,,,,,Member,,5
Brazil,Member,Member,Member,,Member,,,,,,Member,5
Brunei,Member,Member,Member,,Member,,,,,,,4
Bulgaria,Member,Member,Member,,Member,Member,,Member,Member,,Member,8
Burkina Faso,Member,Member,Member,,Member,,,,,Member,,5
Burma,Member,,Member,,Member,,,,,,,3
Burundi,Member,Member,Member,,Member,,,,,Member,,5
Cabo Verde,Member,Member,Member,,Member,,,,,Member,,5
Cambodia,Member,Member,Member,,Member,,,,,,,4
Cameroon,Member,Member,Member,,Member,,,,,Member,Member,6
Canada,Member,Member,Member,Member,Member,Member,Member,Member,,,Member,9
Central African Republic,Member,Member,Member,,Member,,,,,Suspended,,4.5
Chad,Member,Member,Member,,Member,,,,,Member,,5
Chile,Member,Member,Member,Member,Member,,Member,,,,Member,7
China,Member,Member,Member,,Member,,,,,,Member,5
Colombia,Member,Member,Member,Member,Member,,,,,,Member,6
Comoros,Member,Member,Member,,Member,,,,,Member,,5
Costa Rica,Member,Member,Member,Member,Member,,,,,,Member,6
Côte d'Ivoire,Member,Member,Member,,Member,,,,,Member,Member,6
Croatia,Member,Member,Member,,Member,Member,,Member,Member,,Member,8
Cuba,Member,Member,Member,,Member,,,,,,,4
Cyprus,Member,Member,Member,,Member,Member,,,Member,,Member,7
Czech Republic,Member,Member,Member,,Member,Member,Member,Member,Member,,,8
Democratic Republic of the Congo,Member,Member,Member,,Member,,,,,Member,Member,6
Denmark,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Djibouti,Member,Member,Member,,Member,,,,,Member,Member,6
Dominica,,Member,Member,Member,Member,,,,,,,4
Dominican Republic,Member,Member,Member,Member,Member,,,,,,,5
Ecuador,Member,Member,Member,Member,Member,,,,,,Member,6
Egypt,Member,Member,Member,,Member,,,,,Suspended,Member,5.5
El Salvador,Member,Member,Member,Member,Member,,,,,,,5
Equatorial Guinea,Member,Member,Member,,Member,,,,,Member,,5
Eritrea,Member,Member,Member,,Member,,,,,Member,,5
Estonia,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Ethiopia,Member,Member,Member,,Member,,,,,Member,Member,6
Federated States of Micronesia,Member,Member,Member,,Member,,,,,,,4
Fiji,Member,Member,Member,,Member,,,,,,,4
Finland,Member,Member,Member,,Member,Member,Member,,Member,,Member,8
France,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Gabon,Member,Member,Member,,Member,,,,,Member,,5
Gambia,Member,Member,Member,,Member,,,,,Member,,5
Georgia,Member,Member,Member,,Member,Member,,,,,,5
Germany,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Ghana,Member,Member,Member,,Member,,,,,Member,Member,6
Greece,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Grenada,Member,Member,Member,Member,Member,,,,,,,5
Guatemala,Member,Member,Member,Member,Member,,,,,,,5
Guinea,Member,Member,Member,,Member,,,,,Member,Member,6
Guinea Bissau,Member,Member,Member,,Member,,,,,Suspended,,4.5
Guyana,Member,Member,Member,Member,Member,,,,,,,5
Haiti,Member,Member,Member,Member,Member,,,,,,,5
Honduras,Member,Member,Member,Member,Member,,,,,,,5
Hungary,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Iceland,Member,Member,Member,,Member,Member,Member,Member,,,,7
India,Member,Member,Member,,Member,,,,,,Member,5
Indonesia,Member,Member,Member,,Member,,,,,,,4
Iran,Member,Member,Member,,Member,,,,,,Member,5
Iraq,Member,Member,Member,,Member,,,,,,,4
Ireland,Member,Member,Member,,Member,Member,,,Member,,Member,7
Israel,Member,Member,Member,,Member,,Member,,,,Member,6
West Bank,,,,,,,,,,,,0
Gaza Strip,,,,,,,,,,,,0
Italy,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Jamaica,Member,Member,Member,Member,Member,,,,,,,5
Japan,Member,Member,Member,,Member,,Member,,,,Member,6
Jordan,Member,Member,Member,,Member,,,,,,Member,5
Kazakhstan,Member,Member,Member,,Member,Member,,,,,,5
Kenya,Member,Member,Member,,Member,,,,,Member,Member,6
Kiribati,Member,Member,Member,,Member,,,,,,,4
Kosovo,,,Member,,Member,,,,,,,2
Kuwait,Member,Member,Member,,Member,,,,,,,4
Kyrgyzstan,Member,Member,Member,,Member,Member,,,,,,5
Laos,Member,Member,Member,,Member,,,,,,,4
Latvia,Member,Member,Member,,Member,Member,,Member,Member,,,7
Lebanon,Member,Member,Member,,Member,,,,,,Member,5
Lesotho,Member,Member,Member,,Member,,,,,Member,Member,6
Liberia,Member,Member,Member,,Member,,,,,Member,,5
Libya,Member,Member,Member,,Member,,,,,Member,,5
Liechtenstein,,,,,Member,Member,,,,,,2
Lithuania,Member,Member,Member,,Member,Member,,Member,Member,,,7
Luxembourg,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Macedonia,Member,Member,Member,,Member,Member,,,,,Member,6
Madagascar,Member,Member,Member,,Member,,,,,Member,Member,6
Malawi,Member,Member,Member,,Member,,,,,Member,,5
Malaysia,Member,Member,Member,,Member,,,,,,,4
Maldives,Member,Member,Member,,Member,,,,,,,4
Mali,Member,Member,Member,,Member,,,,,Member,,5
Malta,Member,Member,Member,,Member,Member,,,Member,,,6
Marshall Islands,Member,Member,Member,,Member,,,,,,,4
Mauritania,Member,Member,Member,,Member,,,,,Member,,5
Mauritius,Member,Member,Member,,Member,,,,,Member,,5
Mexico,Member,Member,Member,Member,Member,,Member,,,,Member,7
Moldova,Member,Member,Member,,Member,Member,,,,,Member,6
Monaco,Member,Member,Member,,Member,Member,,,,,,5
Mongolia,Member,Member,Member,,Member,Member,,,,,,5
Montenegro,Member,Member,Member,,Member,Member,,,,,Member,6
Morocco,Member,Member,Member,,Member,,,,,,Member,5
Mozambique,Member,Member,Member,,Member,,,,,Member,Member,6
Namibia,Member,Member,Member,,Member,,,,,Member,Member,6
Nauru,Member,Member,Member,,Member,,,,,,,4
Nepal,Member,Member,Member,,Member,,,,,,,4
Netherlands,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
New Zealand,Member,Member,Member,,Member,,Member,,,,Member,6
Nicaragua,Member,Member,Member,Member,Member,,,,,,Member,6
Niger,Member,Member,Member,,Member,,,,,Member,,5
Nigeria,Member,Member,Member,,Member,,,,,Member,Member,6
North Korea,Member,Member,Member,,Member,,,,,,,4
Norway,Member,Member,Member,,Member,Member,Member,Member,,,Member,8
Oman,Member,Member,Member,,Member,,,,,,,4
Pakistan,Member,Member,Member,,Member,,,,,,Member,5
Palau,Member,Member,Member,,Member,,,,,,,4
Palestinian Territories,,Member,Member,,Member,,,,,,,3
Panama,Member,Member,Member,Member,Member,,,,,,,5
Papua New Guinea,Member,Member,Member,,Member,,,,,,,4
Paraguay,Member,Member,Member,Member,Member,,,,,,,5
Peru,Member,Member,Member,Member,Member,,,,,,,5
Philippines,Member,Member,Member,,Member,,,,,,Member,5
Poland,Member,Member,Member,,Member,Member,Member,,Member,,Member,8
Portugal,Member,Member,Member,,Member,Member,Member,,Member,,Member,8
Qatar,Member,Member,Member,,Member,,,,,,,4
Republic of Congo,Member,,Member,,Member,,,,,Member,Member,5
Republic of Serbia,Member,Member,Member,,Member,Member,,,,,Member,6
Romania,Member,Member,Member,,Member,Member,,Member,Member,,Member,8
Russia,Member,Member,Member,,Member,Member,,,,,Member,6
Rwanda,Member,Member,Member,,Member,,,,,Member,Member,6
Saint Kitts and Nevis,Member,Member,Member,Member,Member,,,,,,,5
Saint Lucia,Member,Member,Member,Member,Member,,,,,,,5
Saint Vincent and the Grenadines,Member,Member,Member,Member,Member,,,,,,,5
Samoa,Member,Member,Member,,Member,,,,,,,4
San Marino,Member,Member,Member,,Member,Member,,,,,,5
Sao Tome and Principe,Member,Member,Member,,Member,,,,,Member,,5
Saudi Arabia,Member,Member,Member,,Member,,,,,,,4
Senegal,Member,Member,Member,,Member,,,,,Member,,5
Seychelles,Member,Member,Member,,Member,,,,,Member,,5
Sierra Leone,Member,Member,Member,,Member,,,,,Member,,5
Singapore,Member,Member,Member,,Member,,,,,,,4
Slovakia,Member,Member,Member,,Member,Member,Member,Member,Member,,,8
Slovenia,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
Solomon Islands,Member,Member,Member,,Member,,,,,,,4
Somalia,Member,Member,Member,,Member,,,,,Member,Member,6
South Africa,Member,Member,Member,,Member,,,,,Member,Member,6
South Korea,Member,Member,Member,,Member,,Member,,,,Member,6
South Sudan,Member,Member,Member,,Member,,,,,Member,,5
Spain,Member,Member,Member,,Member,,Member,Member,Member,,Member,8
Sri Lanka,Member,Member,Member,,Member,,,,,,,4
Sudan,Member,Member,Member,,Member,,,,,Member,Member,6
Suriname,Member,Member,Member,Member,Member,,,,,,,5
Swaziland,Member,Member,Member,,Member,,,,,Member,,5
Sweden,Member,Member,Member,,Member,,,,Member,,Member,6
Switzerland,Member,Member,Member,,Member,Member,Member,,,,Member,7
Syria,Member,Member,Member,,Member,,,,,,,4
Taiwan,,,Member,,Member,,,,,,,2
Tajikistan,Member,Member,Member,,Member,Member,,,,,,5
Thailand,Member,Member,Member,,Member,,,,,,Member,5
The Bahamas,Member,Member,Member,Member,Member,,,,,,,5
Timor-Leste,Member,Member,Member,,Member,,,,,,,4
Togo,Member,Member,Member,,Member,,,,,Member,Member,6
Tonga,Member,Member,Member,,Member,,,,,,,4
Trinidad and Tobago,Member,Member,Member,Member,Member,,,,,,,5
Tunisia,Member,Member,Member,,Member,,,,,Member,Member,6
Turkey,Member,Member,Member,,Member,Member,Member,Member,,,Member,8
Turkmenistan,Member,Member,Member,,Member,Member,,,,,Member,6
Tuvalu,,Member,Member,,Member,,,,,,,3
Uganda,Member,Member,Member,,Member,,,,,Member,Member,6
Ukraine,Member,Member,Member,,Member,Member,,,,,,5
United Arab Emirates,Member,Member,Member,,Member,,,,,,,4
United Kingdom,Member,Member,Member,,Member,Member,Member,Member,Member,,Member,9
United Republic of Tanzania,Member,Member,Member,,Member,,,,,Member,Member,6
United States of America,Member,Member,Member,Member,Member,Member,Member,Member,,,Member,9
Uruguay,Member,Member,Member,Member,Member,,,,,,,5
Uzbekistan,Member,Member,Member,,Member,Member,,,,,,5
Vanuatu,Member,Member,Member,,Member,,,,,,,4
Vatican,,,,,,Member,,,,,Member,2
Venezuela,Member,Member,Member,Member,Member,,,,,,Member,6
Vietnam,Member,Member,Member,,Member,,,,,,,4
Western Sahara,,,,,,,,,,,,0
Yemen,Member,Member,Member,,Member,,,,,,Member,5
Zambia,Member,Member,Member,,Member,,,,,Member,Member,6
Zimbabwe,Member,Member,Member,,Member,,,,,Member,,5
